'2012-05-12 04:00:00'	'Suggested Donation $10'
'2013-05-18 04:00:00'	'Suggested Donation for Saturday: $6 <br> Lunch Tavern: $5 <br> Dinner Tavern: $8'
'2014-05-09 00:00:00'	'Suggested Donation for Saturday: $8 <br> Lunch Tavern: $5 <br> Dinner Tavern: $7'
'2015-04-25 00:00:00'	'Suggested Donation for Saturday: $6'
'2016-04-30 00:00:00'	'Suggested Donation for Saturday: $6'
